date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:44:52	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2003%20Nov%202024%2007:44:49%20GMT	http://paversongames.com/cdn/s/trekkie.storefront.a8ef5c2c4f1c6e0839c6b8857d0a2edb7d22d961.min.js	F:/MLNWEB/BroadGame/paversongames.com/cdn/s/trekkie.storefront.a8ef5c2c4f1c6e0839c6b8857d0a2edb7d22d961.min.js	(from https://paversongames.com/)
14:44:52	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2003%20Nov%202024%2007:44:51%20GMT	http://paversongames.com/cdn/shopifycloud/shopify/assets/shop_events_listener-61fa9e0a912c675e178777d2b27f6cbd482f8912a6b0aa31fa3515985a8cd626.js	F:/MLNWEB/BroadGame/paversongames.com/cdn/shopifycloud/shopify/assets/shop_events_listener-61fa9e0a912c675e178777d2b27f6cbd482f8912a6b0aa31fa3515985a8cd626.js	(from https://paversongames.com/)
14:44:52	116513/116513	---MCZ	200	added ('OK')	text/javascript	date:Wed,%2023%20Oct%202024%2017:36:45%20GMT	https://paversongames.com/cdn/s/trekkie.storefront.a8ef5c2c4f1c6e0839c6b8857d0a2edb7d22d961.min.js	F:/MLNWEB/BroadGame/paversongames.com/cdn/s/trekkie.storefront.a8ef5c2c4f1c6e0839c6b8857d0a2edb7d22d961.min.js	(from https://paversongames.com/)
14:44:53	8298/8298	---MCZ	200	added ('OK')	text/javascript	date:Wed,%2023%20Oct%202024%2016:22:47%20GMT	https://paversongames.com/cdn/shopifycloud/shopify/assets/shop_events_listener-61fa9e0a912c675e178777d2b27f6cbd482f8912a6b0aa31fa3515985a8cd626.js	F:/MLNWEB/BroadGame/paversongames.com/cdn/shopifycloud/shopify/assets/shop_events_listener-61fa9e0a912c675e178777d2b27f6cbd482f8912a6b0aa31fa3515985a8cd626.js	(from https://paversongames.com/)
14:44:53	18865/18865	---MCZ	200	added ('OK')	text/javascript	date:Tue,%2022%20Oct%202024%2013:40:52%20GMT	https://paversongames.com/cdn/shopifycloud/perf-kit/shopify-perf-kit-1.0.1.min.js	F:/MLNWEB/BroadGame/paversongames.com/cdn/shopifycloud/perf-kit/shopify-perf-kit-1.0.1.min.js	(from https://paversongames.com/)
14:44:54	324894/324894	---MCZ	200	added ('OK')	text/html	etag:W/%22cacheable:31edb4bbc1e19029b02e3f094a20cb3a%22	https://paversongames.com/collections/all	F:/MLNWEB/BroadGame/paversongames.com/collections/all.html	(from https://paversongames.com/)
14:44:55	284150/284150	---MCZ	200	added ('OK')	text/html	etag:W/%22cacheable:1565c51db5f6f4447bc58ab6b6785d94%22	https://paversongames.com/pages/about-us	F:/MLNWEB/BroadGame/paversongames.com/pages/about-us.html	(from https://paversongames.com/)
14:44:55	294968/294968	---MCZ	200	added ('OK')	text/html	etag:W/%22cacheable:877cfb3c95af7ad18b25fc720fe8e181%22	https://paversongames.com/blogs/news	F:/MLNWEB/BroadGame/paversongames.com/blogs/news.html	(from https://paversongames.com/)
14:44:56	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2003%20Nov%202024%2007:44:54%20GMT	http://paversongames.com/cdn/shop/files/PaversonLogo_Horizontal.png?v=1671811130&width=240	F:/MLNWEB/BroadGame/paversongames.com/cdn/shop/files/PaversonLogo_Horizontal6027.png	(from https://paversongames.com/)
14:44:56	291158/291158	---MCZ	200	added ('OK')	text/html	etag:W/%22cacheable:b1eab2ddea85963b4aefe8d0a8371242%22	https://paversongames.com/pages/contact	F:/MLNWEB/BroadGame/paversongames.com/pages/contact.html	(from https://paversongames.com/)
